Index,trainValRatio,batchSize,layer1Kernel,conv1Activation,pooling,dropout,layer2,layer2Kernel,conv2Activation,layer3,layer3Kernel,conv3Activation,layer4,layer4Kernel,conv4Activation,layer5,layer5Kernel,conv5Activation,layer6,layer6Kernel,conv6Activation,batchNorm,L1kernel_regularizer,L2kernel_regularizer,optimizer,initial_lr,lr_decay_rate
1,0.9,4,3,tanh,1,0.1,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
2,0.85,4,3,tanh,1,0.1,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
3,0.8,4,3,tanh,1,0.1,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
4,0.9,4,3,tanh,1,0.2,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
5,0.9,4,3,tanh,1,0.3,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
6,0.9,4,3,tanh,1,0.4,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
7,0.9,4,3,tanh,1,0.1,1,3,tanh,1,5,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
8,0.9,4,3,tanh,1,0.1,1,3,tanh,1,3,tanh,1,5,tanh,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
9,0.9,4,3,tanh,1,0.1,1,3,tanh,1,5,tanh,1,5,tanh,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
10,0.9,4,3,tanh,1,0.1,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0.01,0,Nadam,0.001,1
11,0.9,4,3,tanh,1,0.1,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0.02,0,Nadam,0.001,1
12,0.9,4,3,tanh,1,0.1,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0,0.01,Nadam,0.001,1
13,0.9,4,3,tanh,1,0.1,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0,0.02,Nadam,0.001,1
14,0.9,4,3,tanh,1,0.1,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0.01,0.01,Nadam,0.001,1
15,0.9,4,3,tanh,1,0.1,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,0,0.02,0.02,Nadam,0.001,1
16,0.9,4,3,tanh,1,0.1,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,1,0,0,Nadam,0.001,1
17,0.9,4,3,relu,1,0.1,1,3,relu,1,3,relu,1,3,relu,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
18,0.9,4,3,softplus,1,0.1,1,3,softplus,1,3,softplus,1,3,softplus,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
19,0.9,4,3,elu,1,0.1,1,3,elu,1,3,elu,1,3,elu,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
20,0.9,4,3,leaky_relu,1,0.1,1,3,leaky_relu,1,3,leaky_relu,1,3,leaky_relu,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
21,0.9,4,3,gelu,1,0.1,1,3,gelu,1,3,gelu,1,3,gelu,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
22,0.9,4,3,mish,1,0.1,1,3,mish,1,3,mish,1,3,mish,0,3,tanh,0,3,tanh,0,0,0,Nadam,0.001,1
23,0.9,4,3,tanh,1,0.2,1,3,tanh,1,3,tanh,1,5,tanh,0,3,tanh,0,3,tanh,1,0.01,1,Nadam,0.001,1
24,0.9,4,3,relu,1,0.2,1,3,relu,1,3,relu,1,5,relu,0,3,tanh,0,3,tanh,1,0.01,1,Nadam,0.001,1
25,0.9,4,3,leaky_relu,1,0.2,1,3,leaky_relu,1,3,leaky_relu,1,5,leaky_relu,0,3,tanh,0,3,tanh,1,0.01,1,Nadam,0.001,1
26,0.9,4,3,mish,1,0.2,1,3,mish,1,3,mish,1,5,mish,0,3,tanh,0,3,tanh,1,0.01,1,Nadam,0.001,1
27,0.9,4,3,leaky_relu,1,0.2,1,3,tanh,1,3,tanh,1,5,tanh,0,3,tanh,0,3,tanh,1,0.01,1,Nadam,0.001,1
28,0.9,4,3,leaky_relu,1,0.2,1,3,leaky_relu,1,3,tanh,1,5,tanh,0,3,tanh,0,3,tanh,1,0.01,1,Nadam,0.001,1
29,0.9,4,3,tanh,1,0.2,1,3,leaky_relu,1,3,leaky_relu,1,5,tanh,0,3,tanh,0,3,tanh,1,0.01,1,Nadam,0.001,1
30,0.9,4,3,tanh,1,0.2,1,3,tanh,1,3,leaky_relu,1,5,leaky_relu,0,3,tanh,0,3,tanh,1,0.01,1,Nadam,0.001,1
31,0.9,4,3,tanh,1,0.2,1,3,tanh,1,3,tansh,1,5,leaky_relu,0,3,tanh,0,3,tanh,1,0.01,1,Nadam,0.001,1
32,0.9,4,3,tanh,1,0.3,1,3,tanh,1,3,tanh,1,5,tanh,0,3,tanh,0,3,tanh,1,0.02,1,Nadam,0.01,0.2
33,0.9,4,3,relu,1,0.3,1,3,relu,1,3,relu,1,5,relu,0,3,tanh,0,3,tanh,1,0.02,1,Nadam,0.01,0.2
34,0.9,4,3,leaky_relu,1,0.3,1,3,leaky_relu,1,3,leaky_relu,1,5,leaky_relu,0,3,tanh,0,3,tanh,1,0.02,1,Nadam,0.01,0.2
35,0.9,4,3,mish,1,0.3,1,3,mish,1,3,mish,1,5,mish,0,3,tanh,0,3,tanh,1,0.02,1,Nadam,0.01,0.2
36,0.9,4,3,tanh,1,0.3,1,3,tanh,1,3,tanh,1,3,tanh,0,3,tanh,0,3,tanh,1,0.02,1,Nadam,0.01,0.2
37,0.9,4,3,relu,1,0.3,1,3,relu,1,3,relu,1,3,relu,0,3,tanh,0,3,tanh,1,0.02,1,Nadam,0.01,0.2
38,0.9,4,3,leaky_relu,1,0.3,1,3,leaky_relu,1,3,leaky_relu,1,3,leaky_relu,0,3,tanh,0,3,tanh,1,0.02,1,Nadam,0.01,0.2
39,0.9,4,3,mish,1,0.3,1,3,mish,1,3,mish,1,3,mish,0,3,tanh,0,3,tanh,1,0.02,1,Nadam,0.01,0.2
